Precinct,district
SANGAMON VALLEY 12,2
VIRGINIA 13,2
VIRGINIA 14,2
VIRGINIA 15,2
AYERS,11
BROWN FISHER,11
BROWN FOOSLAND,11
CHAMPAIGN 1,11
CHAMPAIGN 2,11
CHAMPAIGN 3,11
CHAMPAIGN 4,11
CHAMPAIGN 5,11
CHAMPAIGN 6,11
CITY OF CHAMPAIGN 01,11
CITY OF CHAMPAIGN 02,11
CITY OF CHAMPAIGN 03,11
CITY OF CHAMPAIGN 04,11
CITY OF CHAMPAIGN 05,11
CITY OF CHAMPAIGN 06,11
CITY OF CHAMPAIGN 07,11
CITY OF CHAMPAIGN 08,11
CITY OF CHAMPAIGN 09,11
CITY OF CHAMPAIGN 10,11
CITY OF CHAMPAIGN 11,11
CITY OF CHAMPAIGN 12,11
CITY OF CHAMPAIGN 13,11
CITY OF CHAMPAIGN 14,11
CITY OF CHAMPAIGN 15,11
CITY OF CHAMPAIGN 16,11
CITY OF CHAMPAIGN 17,11
CITY OF CHAMPAIGN 18,11
CITY OF CHAMPAIGN 19,11
CITY OF CHAMPAIGN 20,11
CITY OF CHAMPAIGN 21,11
CITY OF CHAMPAIGN 22,11
CITY OF CHAMPAIGN 23,11
CITY OF CHAMPAIGN 24,11
CITY OF CHAMPAIGN 25,11
CITY OF CHAMPAIGN 26,11
CITY OF CHAMPAIGN 27,11
CITY OF CHAMPAIGN 28,11
CITY OF CHAMPAIGN 29,11
CITY OF CHAMPAIGN 30,11
CITY OF CHAMPAIGN 31,11
CITY OF CHAMPAIGN 32,11
CITY OF CHAMPAIGN 33,11
CITY OF CHAMPAIGN 34,11
CITY OF CHAMPAIGN 35,11
CITY OF CHAMPAIGN 36,11
CITY OF CHAMPAIGN 37,11
CITY OF CHAMPAIGN 38,11
CITY OF CHAMPAIGN 39,11
COLFAX,11
COMPROMISE GIFFORD,11
COMPROMISE PENFIELD,11
CONDIT,11
CRITTENDEN,11
CUNNINGAHM 15,11
CUNNINGHAM 01,11
CUNNINGHAM 02,11
CUNNINGHAM 03,11
CUNNINGHAM 04,11
CUNNINGHAM 05,11
CUNNINGHAM 06,11
CUNNINGHAM 07,11
CUNNINGHAM 08,11
CUNNINGHAM 09,11
CUNNINGHAM 10,11
CUNNINGHAM 11,11
CUNNINGHAM 12,11
CUNNINGHAM 13,11
CUNNINGHAM 14,11
CUNNINGHAM 16,11
CUNNINGHAM 17,11
CUNNINGHAM 18,11
CUNNINGHAM 19,11
CUNNINGHAM 20,11
CUNNINGHAM 21,11
CUNNINGHAM 22,11
CUNNINGHAM 23,11
EAST BEND,11
HARWOOD,11
KERR,11
LUDLOW 1,11
LUDLOW 2,11
LUDLOW 3,11
MAHOMET 1,11
MAHOMET 2,11
MAHOMET 3,11
MAHOMET 4,11
MAHOMET 5,11
NEWCOMB,11
ODGEN 2,11
OGDEN 1,11
PESOTUM,11
PHILO,11
RANTOUL 1,11
RANTOUL 2,11
RANTOUL 3,11
RANTOUL 4,11
RANTOUL 5,11
RANTOUL 6,11
RAYMOND,11
SADORUS IVESDALE,11
SADORUS SADORUS,11
SCOTT BONDVILLE,11
SCOTT SEYMOUR,11
SIDNEY,11
SOUTH HOMER,11
ST. JOSEPH 1,11
ST. JOSEPH 2,11
ST. JOSEPH 3,11
STANTON,11
TOLONO 1,11
TOLONO 2,11
TOLONO 3,11
URBANA 1,11
URBANA 2,11
URBANA 3,11
URBANA 4,11
ASSUMPTION,2
BEAR CREEK,2
BUCKHART,2
GREENWOOD,2
JOHNSON,2
KING,2
LOCUST,2
MAY,2
MOSQUITO,2
MT AUBURN,2
PANA #1,2
PANA #2,2
PANA #3,2
PANA #4,2
PRAIRIETON,2
RICKS,2
ROSAMOND,2
SOUTH FORK #1,2
SOUTH FORK #2,2
STONINGTON,2
TAYLORVILLE #1,2
TAYLORVILLE #2,2
TAYLORVILLE #3,2
TAYLORVILLE #4,2
TAYLORVILLE #5,2
TAYLORVILLE #6,2
TAYLORVILLE #7,2
TAYLORVILLE #8,2
TAYLORVILLE #9,2
ANDERSON,11
AUBURN,11
CASEY 1,11
CASEY 2,11
CASEY 3,11
CASEY 4,11
DARWIN,11
DOLSON,11
DOUGLAS,11
JOHNSON,11
MARSHALL 1,11
MARSHALL 2,11
MARSHALL 3,11
MARSHALL 4,11
MARTINSVILLE 1,11
MARTINSVILLE 2,11
MELROSE,11
ORANGE,11
PARKER,11
WABASH 1,11
WABASH 2,11
WESTFIELD,11
YORK,11
BIBLE GROVE,10
BLAIR,10
CLAY CITY,10
HARTER 1,10
HARTER 3,10
HARTER 4,10
HARTER 5,10
HARTER 6,10
HARTER 7,10
HOOSIER,10
LARKINSBURG,10
LOUISVILLE 1,10
LOUISVILLE 2,10
OSKALOOSA,10
PIXLEY,10
SONGER,10
STANFORD,10
XENIA,10
BREESE 1,10
BREESE 2,10
BREESE 3,10
BREESE 4,10
BROOKSIDE 1,10
BROOKSIDE 2,10
BROOKSIDE 3,10
CARLYLE 1,10
CARLYLE 2,10
CARLYLE 3,10
CARLYLE 4,10
CLEMENT,10
EAST FORK,10
GERMANTOWN 1,10
GERMANTOWN 2,10
IRISHTOWN,10
LAKE,10
LOOKINGGLASS 1,10
LOOKINGGLASS 2,10
LOOKINGGLASS 3,10
LOOKINGGLASS 4,10
LOOKINGGLASS 5,10
LOOKINGGLASS 6,10
MERIDIAN,10
SANTA FE,10
ST ROSE,10
SUGAR CREEK 1,10
SUGAR CREEK 2,10
SUGAR CREEK 3,10
SUGAR CREEK 4,10
SUGAR CREEK 5,10
